name:ID,type
人类自我认知,Cognition
人类认知,Cognition
反思能力,Cognition
心灵概念,Cognition
AI创造力评价,Cognition
丘脑皮层分布,Cognition
人工语言,Cognition
人文学科,Cognition
仪表盘,Cognition
信息交互功能,Cognition
信息决策过程,Cognition
决策活动,Cognition
刹车提前补偿,Cognition
前后测评,Cognition
半侧忽视,Cognition
古典范畴,Cognition
可持续AI,Cognition
各个层面认知活动,Cognition
后悔理论,Cognition
因果分析,Cognition
在线实时调整,Cognition
场景活动,Cognition
复杂系统设计,Cognition
天气认知,Cognition
奥托·洛伊,Cognition
学科结构,Cognition
实时决策模型,Cognition
实证论,Cognition
实验范式设计,Cognition
带电离子,Cognition
平等并列,Cognition
建立计算理论,Cognition
弱表征主义,Cognition
恋人团体,Cognition
意识属性论,Cognition
控制价值,Cognition
数学复杂性,Cognition
最大化目标,Cognition
本土化模型,Cognition
机器人伦理,Cognition
杜波伊斯·雷蒙德,Cognition
格式塔感知能力,Cognition
模糊情境,Cognition
正激活愉悦,Cognition
沉浸式环境,Cognition
环境感知认知,Cognition
男性AI创造力,Cognition
相对论哲学,Cognition
研究生课程,Cognition
研究者,Cognition
研究范式,Cognition
社会感知,Cognition
神经传导,Cognition
神经元基质,Cognition
神经环路,Cognition
空间联系重构,Cognition
空间通路,Cognition
突触,Cognition
算力限制,Cognition
索贝尔,Cognition
脑波音乐生成技术,Cognition
范迪克,Cognition
菲尼斯·盖奇,Cognition
计算限度,Cognition
认知五层级,Cognition
认知位置,Cognition
认知水平,Cognition
认知系统,Cognition
认知隐喻学,Cognition
记忆研究,Cognition
语义实体,Cognition
语言学变革,Cognition
语言模型进化,Cognition
课堂外部分,Cognition
课程内容,Cognition
车辆熟悉度,Cognition
转向线控,Cognition
道路标志,Cognition
邓铁涛,Cognition
长期依赖问题,Cognition
问题-解决主体,Cognition
预测稳定性,Cognition
高N1振幅,Cognition
高阶能力,Cognition
