name:ID,type
语言能力,Language
语音识别,Language
2001-2005阶段,Language
21世纪,Language
AI决策,Language
Kahneman,Language
SSCI数据库,Language
T·Wiongrad,Language
《认知心理学》出版,Language
上丘视网膜投射,Language
不公正结果,Language
专用编址,Language
串联式问题,Language
乔姆斯基,Language
事实,Language
产品开发,Language
人工智能技术,Language
人类要素,Language
人脑功能,Language
传统道德理论,Language
信息加工观点,Language
信息获取,Language
内在表征,Language
内容密度,Language
决策,Language
刘晓力,Language
动机原则,Language
卡雅,Language
双前侧脑岛,Language
复杂语义,Language
外界变化,Language
多巴胺系统,Language
多模态学习,Language
多维信息,Language
大量精力,Language
姿态监控,Language
安立鹏团队,Language
实时演化,Language
实验心理学,Language
序列原则,Language
建立综合理论,Language
开放推理,Language
总注视时间,Language
情感动机,Language
感觉神经元,Language
数字阅读认知机制,Language
数学,Language
文本阅读,Language
新质生产力,Language
时间格式塔理论,Language
智能医疗,Language
智能活动,Language
智能认知系统,Language
概念进化,Language
概率推理,Language
模块,Language
模型驱动,Language
模拟人类认知计算原理,Language
洛伊,Language
混合式进路,Language
理论实践智慧,Language
瓦雷拉,Language
界面原型设计,Language
病理学,Language
知识产权,Language
知识传递,Language
知识图谱,Language
确定性,Language
神经相关物,Language
福多,Language
笛卡儿哲学,Language
脑区连接,Language
脑氧合水平,Language
脑神经学,Language
腹外侧前额叶皮层,Language
自然语言,Language
范畴,Language
虚拟仿真,Language
行业合作,Language
行业技术,Language
解决关键技术,Language
计算机模型,Language
认知功能障碍,Language
认知理论,Language
认知类型,Language
认识论,Language
识记领会,Language
语言反映,Language
语言生产机制,Language
贝叶斯推理,Language
负激活愉悦,Language
车道偏离预警,Language
迁移阶段,Language
适应性训练,Language
郝宁团队,Language
量子算法,Language
错误记忆,Language
阅读材料,Language
隐私保护,Language
驾驶员适应,Language
黑箱测试,Language
